Ax,Ay,Az,Gx,Gy,Gz,Label
0.081,0.117,1.013,1.033,-2.774,-0.157,Idle
0.079,0.108,1.010,1.059,-2.730,-0.166,Idle
0.079,0.106,1.011,1.076,-2.800,-0.096,Idle
0.079,0.115,1.011,1.059,-2.774,-0.175,Idle
0.084,0.110,1.011,1.006,-2.809,-0.131,Idle
0.082,0.106,1.008,1.067,-2.783,-0.175,Idle
0.080,0.110,1.011,1.050,-2.747,-0.157,Idle
0.079,0.109,1.012,1.076,-2.809,-0.166,Idle
0.081,0.109,1.009,1.059,-2.774,-0.131,Idle
0.084,0.109,1.007,1.059,-2.774,-0.192,Idle
0.081,0.108,1.008,1.059,-2.765,-0.175,Idle
0.081,0.109,1.012,1.067,-2.800,-0.166,Idle
0.081,0.110,1.010,1.024,-2.756,-0.131,Idle
0.083,0.110,1.011,1.050,-2.756,-0.157,Idle
0.082,0.109,1.008,1.059,-2.739,-0.201,Idle
0.080,0.110,1.012,1.050,-2.783,-0.123,Idle
0.080,0.108,1.007,1.024,-2.739,-0.201,Idle
0.081,0.109,1.010,1.059,-2.791,-0.166,Idle
0.083,0.109,1.009,1.067,-2.756,-0.157,Idle
0.081,0.109,1.011,1.041,-2.765,-0.149,Idle
0.080,0.109,1.008,1.050,-2.774,-0.140,Idle
0.082,0.109,1.008,1.102,-2.747,-0.175,Idle
0.082,0.110,1.011,1.033,-2.756,-0.157,Idle
0.080,0.109,1.010,1.076,-2.747,-0.184,Idle
0.080,0.110,1.009,1.033,-2.730,-0.184,Idle
0.081,0.109,1.010,1.050,-2.765,-0.201,Idle
0.082,0.109,1.010,1.041,-2.739,-0.192,Idle
0.080,0.110,1.010,1.041,-2.747,-0.114,Idle
0.080,0.111,1.011,1.059,-2.765,-0.166,Idle
0.080,0.109,1.009,1.076,-2.818,-0.149,Idle
0.082,0.109,1.011,1.050,-2.783,-0.140,Idle
0.082,0.110,1.010,1.094,-2.765,-0.166,Idle
0.081,0.109,1.011,1.050,-2.791,-0.166,Idle
0.080,0.109,1.009,1.067,-2.783,-0.131,Idle
0.081,0.109,1.011,1.085,-2.774,-0.140,Idle
0.081,0.111,1.010,1.094,-2.765,-0.157,Idle
0.081,0.112,1.010,1.067,-2.774,-0.114,Idle
0.080,0.108,1.010,1.041,-2.747,-0.157,Idle
0.079,0.110,1.010,1.059,-2.791,-0.140,Idle
0.082,0.095,1.007,1.146,-2.800,-0.166,Idle
0.083,0.106,1.010,1.102,-2.800,-0.114,Idle
0.082,0.106,1.003,0.971,-2.695,-0.166,Idle
0.076,0.105,1.011,1.033,-2.835,-0.123,Idle
0.075,0.109,1.009,0.962,-2.608,-0.149,Idle
0.083,0.111,1.011,1.076,-2.739,-0.149,Idle
0.086,0.112,1.009,1.111,-2.739,-0.166,Idle
0.075,0.118,1.011,1.067,-2.721,-0.228,Idle
0.084,0.116,1.009,1.033,-2.783,-0.236,Idle
0.076,0.129,1.016,1.146,-2.800,-0.166,Idle
0.079,0.108,1.008,0.989,-2.651,-0.219,Idle
0.080,0.118,1.010,1.111,-2.783,-0.131,Idle
0.077,0.113,1.009,1.111,-2.704,-0.175,Idle
0.083,0.103,1.009,1.033,-2.747,-0.157,Idle
0.084,0.110,1.008,1.033,-2.730,-0.123,Idle
0.082,0.108,1.008,1.094,-2.756,-0.157,Idle
0.079,0.107,1.010,1.050,-2.730,-0.175,Idle
0.081,0.113,1.011,1.041,-2.809,-0.149,Idle
0.082,0.108,1.007,1.067,-2.713,-0.149,Idle
0.082,0.108,1.008,1.033,-2.686,-0.157,Idle
0.081,0.112,1.013,1.041,-2.800,-0.157,Idle
0.080,0.109,1.011,1.085,-2.800,-0.140,Idle
0.082,0.110,1.010,1.041,-2.774,-0.123,Idle
0.082,0.109,1.010,1.015,-2.713,-0.123,Idle
0.082,0.108,1.010,1.059,-2.756,-0.175,Idle
0.080,0.109,1.010,1.059,-2.739,-0.175,Idle
0.081,0.110,1.010,1.120,-2.774,-0.166,Idle
0.083,0.108,1.009,1.033,-2.730,-0.184,Idle
0.082,0.109,1.011,1.067,-2.739,-0.149,Idle
0.081,0.109,1.011,1.033,-2.747,-0.166,Idle
0.081,0.109,1.010,1.050,-2.730,-0.157,Idle
0.082,0.109,1.009,1.059,-2.756,-0.140,Idle
0.083,0.110,1.011,1.094,-2.765,-0.184,Idle
0.082,0.110,1.011,1.076,-2.765,-0.157,Idle
0.080,0.109,1.010,1.085,-2.739,-0.123,Idle
0.082,0.109,1.009,1.059,-2.783,-0.149,Idle
0.082,0.109,1.011,1.050,-2.747,-0.166,Idle
0.082,0.111,1.011,1.067,-2.809,-0.157,Idle
