Ax,Ay,Az,Gx,Gy,Gz
0.8216162121591195,0.6886886886886886,0.7189689689689689,0.4737359820011511,0.4454593020213823,0.0
0.5201401050788093,0.5275275275275274,0.7525025025025025,0.5017702356244659,0.4951933306590858,0.4997558295690392
0.4658493870402803,0.6626626626626626,0.2104604604604605,1.0,0.0,1.0
0.0,0.9409409409409408,0.0,0.0700158710780124,0.5131084639935818,0.9473045328496432
0.0,0.5392892892892892,0.8123123123123123,0.0144514013638663,0.1081221549784606,0.8029998081518042
0.5208906680010009,0.5275275275275274,0.752002002002002,0.5017248896872875,0.4952229799257024,0.4997715262396009
0.6209657242932201,0.4984984984984984,0.7502502502502502,0.5349617175645743,0.5137345867415456,0.9840225334426288
0.8151113335001252,0.3688688688688688,0.6819319319319319,0.3912831156146991,0.1309817395399131,0.3578771125102464
0.6159619714786091,1.0,0.0,1.0,0.3620123131660184,1.0
0.3367525644233176,0.5975975975975975,0.7867867867867867,0.5309486021242827,0.9306555976071298,0.3705286289830302
0.4893670252689518,0.5050050050050049,0.807057057057057,0.6630761986152048,0.6326141932783369,0.515231002668434
0.4288216162121592,0.6086086086086085,0.6924424424424425,0.3781589549505555,0.3507804733418211,0.0
0.7338003502626972,0.4602102102102101,0.761011011011011,0.5034794286411916,0.512941032840923,0.5060275214957183
0.7353014761070804,0.4446946946946946,0.7312312312312312,0.4940631703786385,0.5076006767009087,0.2310759195632837
0.4283212409306981,0.5710710710710709,0.783033033033033,0.5668102621343983,1.0,0.2483370249577062
0.3332499374530899,0.5082582582582582,0.9604604604604604,0.5043026318084308,0.0,0.070962903535239
0.5203902927195397,0.5277777777777777,0.7530030030030029,0.5018469749027679,0.4951619373179622,0.4997401328984774
0.8809106830122594,0.5427927927927927,0.537037037037037,1.0,1.0,0.229214992064461
0.5206404803602703,0.5277777777777777,0.7530030030030029,0.5018312782322061,0.4951933306590858,0.4997715262396009
0.5484113084813611,0.6243743743743743,0.3966466466466466,0.8360709489509393,0.5931824127526728,0.6090534907651255
1.0000000000000002,0.8663663663663663,0.0,0.974590578509514,0.0016481504089854,0.8098836702303922
0.0,0.3886386386386385,0.0,0.5104696792646982,0.9935137869089768,0.7256588241449675
0.7455591693770329,0.6574074074074073,0.5105105105105104,0.4197743167588119,0.2502589950642692,0.5180982611577166
0.5203902927195397,0.5277777777777777,0.7525025025025025,0.5019080175105081,0.4951619373179622,0.4997401328984774
0.4951213410057544,0.6096096096096095,0.6909409409409408,0.0,0.3750004360186267,0.4083750457819558
0.5419064298223669,0.679179179179179,0.7409909909909909,0.0,0.4661980919824895,0.4541726982576696
0.5961971478608958,0.6621621621621621,0.612112112112112,0.529010935347158,0.0,0.6534000732511293
0.4330748061045785,0.5137637637637636,1.0,0.0007325112928824,0.8035491916214661,0.6146676666027173
0.7177883412559422,0.604104104104104,0.6156156156156156,0.5342292062716919,0.1847916703001552,0.5073094162582625
0.7958468851638731,0.9717217217217216,1.0,0.7002964926661667,0.7835272162826796,0.1993494602089401
0.4998749061796348,0.5475475475475474,0.7807807807807807,0.1544221009121509,0.4961386190418054,0.5296510106911767
0.7275456592444335,0.5915915915915915,0.585085085085085,0.5882833074628948,0.2046601670823377,0.6545755794687549
0.5206404803602703,0.5277777777777777,0.7525025025025025,0.5018469749027679,0.495177633988524,0.4996790902907372
0.5203902927195397,0.528028028028028,0.7522522522522521,0.5018469749027679,0.4951462406474005,0.4996790902907372
0.9224418313735304,1.0,0.1581581581581582,0.0,1.0,0.3514990320386487
0.1238428821616213,0.7922922922922921,0.714964964964965,0.6737726075657952,0.5557929434745452,1.0
0.3667750813109833,0.6739239239239239,0.7765265265265264,0.4592392347001064,0.4415508310515025,1.0
0.9769827370527896,0.7580080080080078,0.0,0.0038456842876327,0.9936358721244573,0.6178122329385911
0.8048536402301728,1.0,1.0,0.0742278110120864,0.9994506165303382,0.3189929713797373
0.5203902927195397,0.5277777777777777,0.752002002002002,0.5018312782322061,0.4952229799257024,0.4996790902907372
0.4701025769326996,0.6889389389389389,0.4256756756756756,0.5834609414514188,0.5050665364424368,0.5576242217067513
